gwcode,year,gmfd_functionallyfree
2,1995,1
2,1996,1
2,1997,1
2,1998,1
2,1999,1
2,2000,1
2,2001,1
2,2002,1
2,2003,1
2,2004,1
2,2005,1
20,1995,1
20,1996,1
20,1997,1
20,1998,1
20,1999,1
20,2000,1
20,2001,1
20,2002,1
20,2003,1
20,2004,1
20,2005,1
40,1995,0
40,1996,0
40,1997,0
40,1998,0
40,1999,0
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
41,1995,1
41,1996,1
41,1997,1
41,1998,1
41,1999,1
41,2000,0
41,2001,0
41,2002,0
41,2003,0
41,2004,0
41,2005,0
42,1995,1
42,1996,1
42,1997,1
42,1998,1
42,1999,1
42,2000,1
42,2001,1
42,2002,1
42,2003,1
42,2004,1
42,2005,1
51,1995,1
51,1996,1
51,1997,1
51,1998,1
51,1999,1
51,2000,1
51,2001,1
51,2002,1
51,2003,1
51,2004,1
51,2005,1
52,1995,1
52,1996,1
52,1997,1
52,1998,1
52,1999,1
52,2000,1
52,2001,1
52,2002,1
52,2003,1
52,2004,1
52,2005,1
70,1995,1
70,1996,1
70,1997,1
70,1998,1
70,1999,1
70,2000,1
70,2001,1
70,2002,1
70,2003,1
70,2004,1
70,2005,1
90,1995,0
90,1996,0
90,1997,0
90,1998,0
90,1999,1
90,2000,1
90,2001,1
90,2002,1
90,2003,0
90,2004,1
90,2005,1
91,1995,1
91,1996,1
91,1997,1
91,1998,1
91,1999,1
91,2000,1
91,2001,1
91,2002,1
91,2003,1
91,2004,1
91,2005,1
92,1995,1
92,1996,1
92,1997,1
92,1998,1
92,1999,1
92,2000,1
92,2001,1
92,2002,1
92,2003,1
92,2004,1
92,2005,1
93,1995,0
93,1996,1
93,1997,1
93,1998,1
93,1999,1
93,2000,1
93,2001,1
93,2002,1
93,2003,1
93,2004,1
93,2005,1
94,1995,1
94,1996,1
94,1997,1
94,1998,1
94,1999,1
94,2000,1
94,2001,1
94,2002,1
94,2003,1
94,2004,1
94,2005,1
95,1995,1
95,1996,1
95,1997,1
95,1998,1
95,1999,1
95,2000,1
95,2001,1
95,2002,1
95,2003,1
95,2004,1
95,2005,1
100,1995,1
100,1996,1
100,1997,1
100,1998,1
100,1999,1
100,2000,0
100,2001,0
100,2002,0
100,2003,0
100,2004,0
100,2005,0
101,1995,1
101,1996,1
101,1997,1
101,1998,1
101,1999,1
101,2000,1
101,2001,1
101,2002,0
101,2003,0
101,2004,0
101,2005,0
110,1995,1
110,1996,1
110,1997,1
110,1998,1
110,1999,1
110,2000,1
110,2001,1
110,2002,1
110,2003,1
110,2004,1
110,2005,1
115,1995,1
115,1996,1
115,1997,1
115,1998,1
115,1999,1
115,2000,1
115,2001,1
115,2002,1
115,2003,1
115,2004,1
115,2005,1
130,1995,1
130,1996,1
130,1997,1
130,1998,1
130,1999,1
130,2000,1
130,2001,1
130,2002,1
130,2003,1
130,2004,1
130,2005,1
135,1995,1
135,1996,1
135,1997,0
135,1998,0
135,1999,0
135,2000,0
135,2001,1
135,2002,1
135,2003,1
135,2004,1
135,2005,1
140,1995,1
140,1996,1
140,1997,1
140,1998,1
140,1999,1
140,2000,1
140,2001,1
140,2002,1
140,2003,1
140,2004,1
140,2005,1
145,1995,1
145,1996,1
145,1997,1
145,1998,1
145,1999,1
145,2000,1
145,2001,1
145,2002,1
145,2003,1
145,2004,1
145,2005,1
150,1995,1
150,1996,1
150,1997,1
150,1998,1
150,1999,1
150,2000,1
150,2001,1
150,2002,1
150,2003,1
150,2004,1
150,2005,1
155,1995,1
155,1996,1
155,1997,1
155,1998,1
155,1999,1
155,2000,1
155,2001,1
155,2002,1
155,2003,1
155,2004,1
155,2005,1
160,1995,1
160,1996,1
160,1997,1
160,1998,1
160,1999,1
160,2000,1
160,2001,1
160,2002,1
160,2003,1
160,2004,1
160,2005,1
165,1995,1
165,1996,1
165,1997,1
165,1998,1
165,1999,1
165,2000,1
165,2001,1
165,2002,1
165,2003,1
165,2004,1
165,2005,1
200,1995,1
200,1996,1
200,1997,1
200,1998,1
200,1999,1
200,2000,1
200,2001,1
200,2002,1
200,2003,1
200,2004,1
200,2005,1
205,1995,1
205,1996,1
205,1997,1
205,1998,1
205,1999,1
205,2000,1
205,2001,1
205,2002,1
205,2003,1
205,2004,1
205,2005,1
210,1995,1
210,1996,1
210,1997,1
210,1998,1
210,1999,1
210,2000,1
210,2001,1
210,2002,1
210,2003,1
210,2004,1
210,2005,1
211,1995,1
211,1996,1
211,1997,1
211,1998,1
211,1999,1
211,2000,1
211,2001,1
211,2002,1
211,2003,1
211,2004,1
211,2005,1
220,1995,1
220,1996,1
220,1997,1
220,1998,1
220,1999,1
220,2000,1
220,2001,1
220,2002,1
220,2003,1
220,2004,1
220,2005,1
225,1995,1
225,1996,1
225,1997,1
225,1998,1
225,1999,1
225,2000,1
225,2001,1
225,2002,1
225,2003,1
225,2004,1
225,2005,1
230,1995,1
230,1996,1
230,1997,1
230,1998,1
230,1999,1
230,2000,1
230,2001,1
230,2002,1
230,2003,1
230,2004,1
230,2005,1
235,1995,1
235,1996,1
235,1997,1
235,1998,1
235,1999,1
235,2000,1
235,2001,1
235,2002,1
235,2003,1
235,2004,1
235,2005,1
260,1995,1
260,1996,1
260,1997,1
260,1998,1
260,1999,1
260,2000,1
260,2001,1
260,2002,1
260,2003,1
260,2004,1
260,2005,1
290,1995,0
290,1996,0
290,1997,0
290,1998,1
290,1999,1
290,2000,1
290,2001,1
290,2002,1
290,2003,1
290,2004,1
290,2005,1
305,1995,1
305,1996,1
305,1997,1
305,1998,1
305,1999,1
305,2000,1
305,2001,1
305,2002,1
305,2003,1
305,2004,1
305,2005,1
310,1995,1
310,1996,1
310,1997,1
310,1998,1
310,1999,1
310,2000,1
310,2001,1
310,2002,1
310,2003,1
310,2004,1
310,2005,1
316,1995,1
316,1996,1
316,1997,1
316,1998,1
316,1999,1
316,2000,1
316,2001,1
316,2002,1
316,2003,1
316,2004,1
316,2005,1
325,1995,1
325,1996,1
325,1997,1
325,1998,1
325,1999,1
325,2000,1
325,2001,1
325,2002,1
325,2003,1
325,2004,1
325,2005,1
339,1995,0
339,1996,1
339,1997,1
339,1998,0
339,1999,0
339,2000,1
339,2001,1
339,2002,1
339,2003,1
339,2004,1
339,2005,1
343,1995,0
343,1996,0
343,1997,1
343,1998,1
343,1999,1
343,2000,1
343,2001,1
343,2002,1
343,2003,1
343,2004,1
343,2005,1
344,1995,0
344,1996,0
344,1997,0
344,1998,0
344,1999,0
344,2000,1
344,2001,1
344,2002,1
344,2003,1
344,2004,1
344,2005,1
345,1995,0
345,1996,0
345,1997,0
345,1998,0
345,1999,0
345,2000,1
345,2001,1
345,2002,1
345,2003,1
345,2004,1
345,2005,1
346,1995,0
346,1996,0
346,1997,0
346,1998,1
346,1999,1
346,2000,1
346,2001,1
346,2002,1
346,2003,1
346,2004,1
346,2005,1
349,1995,1
349,1996,1
349,1997,1
349,1998,1
349,1999,1
349,2000,1
349,2001,1
349,2002,1
349,2003,1
349,2004,1
349,2005,1
350,1995,0
350,1996,1
350,1997,1
350,1998,1
350,1999,1
350,2000,1
350,2001,1
350,2002,1
350,2003,1
350,2004,1
350,2005,1
355,1995,1
355,1996,1
355,1997,1
355,1998,1
355,1999,1
355,2000,1
355,2001,1
355,2002,1
355,2003,1
355,2004,1
355,2005,1
359,1995,1
359,1996,1
359,1997,1
359,1998,0
359,1999,0
359,2000,0
359,2001,1
359,2002,1
359,2003,0
359,2004,0
359,2005,0
360,1995,0
360,1996,1
360,1997,1
360,1998,1
360,1999,1
360,2000,1
360,2001,1
360,2002,1
360,2003,1
360,2004,1
360,2005,1
365,1995,1
365,1996,1
365,1997,0
365,1998,0
365,1999,0
365,2000,0
365,2001,0
365,2002,0
365,2003,0
365,2004,0
365,2005,0
366,1995,1
366,1996,1
366,1997,1
366,1998,1
366,1999,1
366,2000,1
366,2001,1
366,2002,1
366,2003,1
366,2004,1
366,2005,1
367,1995,1
367,1996,1
367,1997,1
367,1998,1
367,1999,1
367,2000,1
367,2001,1
367,2002,1
367,2003,1
367,2004,1
367,2005,1
368,1995,1
368,1996,1
368,1997,1
368,1998,1
368,1999,1
368,2000,1
368,2001,1
368,2002,1
368,2003,1
368,2004,1
368,2005,1
369,1995,1
369,1996,1
369,1997,0
369,1998,0
369,1999,0
369,2000,0
369,2001,0
369,2002,0
369,2003,0
369,2004,1
369,2005,1
370,1995,0
370,1996,0
370,1997,0
370,1998,0
370,1999,0
370,2000,0
370,2001,0
370,2002,0
370,2003,0
370,2004,0
370,2005,0
371,1995,0
371,1996,0
371,1997,0
371,1998,1
371,1999,1
371,2000,1
371,2001,1
371,2002,0
371,2003,0
371,2004,0
371,2005,0
372,1995,1
372,1996,1
372,1997,1
372,1998,1
372,1999,1
372,2000,1
372,2001,1
372,2002,1
372,2003,1
372,2004,1
372,2005,1
373,1995,0
373,1996,0
373,1997,0
373,1998,0
373,1999,0
373,2000,0
373,2001,0
373,2002,0
373,2003,0
373,2004,0
373,2005,0
375,1995,1
375,1996,1
375,1997,1
375,1998,1
375,1999,1
375,2000,1
375,2001,1
375,2002,1
375,2003,1
375,2004,1
375,2005,1
380,1995,1
380,1996,1
380,1997,1
380,1998,1
380,1999,1
380,2000,1
380,2001,1
380,2002,1
380,2003,1
380,2004,1
380,2005,1
385,1995,1
385,1996,1
385,1997,1
385,1998,1
385,1999,1
385,2000,1
385,2001,1
385,2002,1
385,2003,1
385,2004,1
385,2005,1
390,1995,1
390,1996,1
390,1997,1
390,1998,1
390,1999,1
390,2000,1
390,2001,1
390,2002,1
390,2003,1
390,2004,1
390,2005,1
404,1995,0
404,1996,0
404,1997,0
404,1998,0
404,1999,0
404,2000,0
404,2001,0
404,2002,1
404,2003,0
404,2004,1
404,2005,1
420,1995,0
420,1996,0
420,1997,0
420,1998,0
420,1999,0
420,2000,0
420,2001,0
420,2002,0
420,2003,0
420,2004,0
420,2005,0
432,1995,1
432,1996,1
432,1997,1
432,1998,1
432,1999,1
432,2000,1
432,2001,1
432,2002,1
432,2003,1
432,2004,1
432,2005,1
433,1995,1
433,1996,1
433,1997,1
433,1998,1
433,1999,1
433,2000,1
433,2001,1
433,2002,1
433,2003,1
433,2004,1
433,2005,1
434,1995,1
434,1996,1
434,1997,1
434,1998,1
434,1999,1
434,2000,1
434,2001,1
434,2002,1
434,2003,1
434,2004,1
434,2005,1
435,1995,0
435,1996,0
435,1997,0
435,1998,0
435,1999,0
435,2000,0
435,2001,0
435,2002,0
435,2003,0
435,2004,0
435,2005,0
436,1995,1
436,1996,1
436,1997,0
436,1998,0
436,1999,0
436,2000,0
436,2001,1
436,2002,1
436,2003,1
436,2004,1
436,2005,1
437,1995,0
437,1996,0
437,1997,0
437,1998,0
437,1999,0
437,2000,0
437,2001,0
437,2002,0
437,2003,0
437,2004,0
437,2005,0
438,1995,0
438,1996,0
438,1997,0
438,1998,0
438,1999,0
438,2000,0
438,2001,0
438,2002,0
438,2003,0
438,2004,0
438,2005,0
439,1995,1
439,1996,1
439,1997,1
439,1998,1
439,1999,1
439,2000,1
439,2001,1
439,2002,1
439,2003,1
439,2004,1
439,2005,1
450,1995,0
450,1996,0
450,1997,0
450,1998,0
450,1999,0
450,2000,0
450,2001,0
450,2002,0
450,2003,0
450,2004,0
450,2005,0
451,1995,0
451,1996,0
451,1997,0
451,1998,0
451,1999,0
451,2000,0
451,2001,0
451,2002,0
451,2003,1
451,2004,1
451,2005,1
452,1995,1
452,1996,1
452,1997,1
452,1998,1
452,1999,1
452,2000,1
452,2001,1
452,2002,1
452,2003,1
452,2004,1
452,2005,1
461,1995,0
461,1996,0
461,1997,0
461,1998,0
461,1999,0
461,2000,0
461,2001,0
461,2002,0
461,2003,0
461,2004,0
461,2005,0
471,1995,0
471,1996,0
471,1997,0
471,1998,0
471,1999,0
471,2000,0
471,2001,0
471,2002,0
471,2003,0
471,2004,0
471,2005,0
475,1995,0
475,1996,0
475,1997,0
475,1998,0
475,1999,0
475,2000,0
475,2001,0
475,2002,1
475,2003,1
475,2004,1
475,2005,1
481,1995,1
481,1996,1
481,1997,1
481,1998,0
481,1999,0
481,2000,0
481,2001,0
481,2002,1
481,2003,0
481,2004,0
481,2005,0
482,1995,1
482,1996,0
482,1997,1
482,1998,1
482,1999,1
482,2000,1
482,2001,0
482,2002,0
482,2003,0
482,2004,0
482,2005,0
483,1995,1
483,1996,1
483,1997,1
483,1998,0
483,1999,0
483,2000,0
483,2001,0
483,2002,0
483,2003,0
483,2004,0
483,2005,0
484,1995,1
484,1996,1
484,1997,0
484,1998,0
484,1999,0
484,2000,0
484,2001,1
484,2002,1
484,2003,1
484,2004,1
484,2005,1
490,1995,0
490,1996,0
490,1997,0
490,1998,0
490,1999,0
490,2000,0
490,2001,0
490,2002,0
490,2003,0
490,2004,0
490,2005,0
500,1995,1
500,1996,1
500,1997,1
500,1998,1
500,1999,1
500,2000,1
500,2001,1
500,2002,1
500,2003,1
500,2004,1
500,2005,1
501,1995,1
501,1996,1
501,1997,0
501,1998,0
501,1999,0
501,2000,0
501,2001,0
501,2002,0
501,2003,0
501,2004,0
501,2005,1
510,1995,1
510,1996,1
510,1997,1
510,1998,1
510,1999,1
510,2000,1
510,2001,1
510,2002,1
510,2003,1
510,2004,1
510,2005,1
516,1995,0
516,1996,0
516,1997,0
516,1998,0
516,1999,0
516,2000,0
516,2001,0
516,2002,0
516,2003,0
516,2004,0
516,2005,0
517,1995,0
517,1996,0
517,1997,0
517,1998,0
517,1999,0
517,2000,0
517,2001,0
517,2002,0
517,2003,0
517,2004,0
517,2005,0
520,1995,0
520,1996,0
520,1997,0
520,1998,0
520,1999,0
520,2000,0
520,2001,0
520,2002,0
520,2003,0
520,2004,0
520,2005,0
530,1995,0
530,1996,0
530,1997,0
530,1998,0
530,1999,0
530,2000,0
530,2001,0
530,2002,0
530,2003,0
530,2004,0
530,2005,0
531,1995,0
531,1996,0
531,1997,0
531,1998,0
531,1999,0
531,2000,0
531,2001,0
531,2002,0
531,2003,0
531,2004,0
531,2005,0
540,1995,0
540,1996,0
540,1997,0
540,1998,0
540,1999,0
540,2000,0
540,2001,0
540,2002,0
540,2003,0
540,2004,0
540,2005,0
541,1995,1
541,1996,0
541,1997,0
541,1998,0
541,1999,1
541,2000,1
541,2001,1
541,2002,1
541,2003,1
541,2004,1
541,2005,1
551,1995,1
551,1996,1
551,1997,0
551,1998,0
551,1999,0
551,2000,0
551,2001,0
551,2002,0
551,2003,0
551,2004,0
551,2005,0
552,1995,0
552,1996,0
552,1997,0
552,1998,0
552,1999,0
552,2000,0
552,2001,0
552,2002,0
552,2003,0
552,2004,0
552,2005,0
553,1995,1
553,1996,0
553,1997,0
553,1998,0
553,1999,0
553,2000,0
553,2001,0
553,2002,0
553,2003,1
553,2004,1
553,2005,1
560,1995,1
560,1996,1
560,1997,1
560,1998,1
560,1999,1
560,2000,1
560,2001,1
560,2002,1
560,2003,1
560,2004,1
560,2005,1
565,1995,1
565,1996,1
565,1997,1
565,1998,1
565,1999,1
565,2000,1
565,2001,1
565,2002,1
565,2003,1
565,2004,1
565,2005,1
570,1995,1
570,1996,1
570,1997,1
570,1998,0
570,1999,1
570,2000,1
570,2001,1
570,2002,1
570,2003,1
570,2004,1
570,2005,1
571,1995,1
571,1996,1
571,1997,1
571,1998,1
571,1999,1
571,2000,1
571,2001,1
571,2002,1
571,2003,1
571,2004,1
571,2005,1
572,1995,0
572,1996,0
572,1997,0
572,1998,0
572,1999,0
572,2000,0
572,2001,0
572,2002,0
572,2003,0
572,2004,0
572,2005,0
580,1995,1
580,1996,1
580,1997,1
580,1998,1
580,1999,1
580,2000,1
580,2001,1
580,2002,1
580,2003,1
580,2004,1
580,2005,1
590,1995,1
590,1996,1
590,1997,1
590,1998,1
590,1999,1
590,2000,1
590,2001,1
590,2002,1
590,2003,1
590,2004,1
590,2005,1
600,1995,0
600,1996,0
600,1997,0
600,1998,0
600,1999,0
600,2000,0
600,2001,0
600,2002,1
600,2003,0
600,2004,0
600,2005,0
615,1995,0
615,1996,0
615,1997,0
615,1998,0
615,1999,0
615,2000,0
615,2001,0
615,2002,0
615,2003,0
615,2004,0
615,2005,0
616,1995,0
616,1996,0
616,1997,0
616,1998,0
616,1999,0
616,2000,0
616,2001,0
616,2002,0
616,2003,0
616,2004,0
616,2005,0
620,1995,0
620,1996,0
620,1997,0
620,1998,0
620,1999,0
620,2000,0
620,2001,0
620,2002,0
620,2003,0
620,2004,0
620,2005,0
625,1995,0
625,1996,0
625,1997,0
625,1998,0
625,1999,0
625,2000,0
625,2001,0
625,2002,0
625,2003,0
625,2004,0
625,2005,0
630,1995,0
630,1996,0
630,1997,0
630,1998,0
630,1999,0
630,2000,0
630,2001,0
630,2002,0
630,2003,0
630,2004,0
630,2005,0
640,1995,0
640,1996,0
640,1997,0
640,1998,0
640,1999,0
640,2000,0
640,2001,0
640,2002,1
640,2003,1
640,2004,1
640,2005,1
645,1995,0
645,1996,0
645,1997,0
645,1998,0
645,1999,0
645,2000,0
645,2001,0
645,2002,0
645,2003,0
645,2004,0
645,2005,0
651,1995,0
651,1996,0
651,1997,0
651,1998,0
651,1999,0
651,2000,0
651,2001,0
651,2002,0
651,2003,0
651,2004,0
651,2005,0
652,1995,0
652,1996,0
652,1997,0
652,1998,0
652,1999,0
652,2000,0
652,2001,0
652,2002,0
652,2003,0
652,2004,0
652,2005,0
660,1995,0
660,1996,0
660,1997,0
660,1998,0
660,1999,1
660,2000,1
660,2001,0
660,2002,0
660,2003,0
660,2004,1
660,2005,1
663,1995,0
663,1996,0
663,1997,0
663,1998,0
663,1999,0
663,2000,0
663,2001,0
663,2002,0
663,2003,0
663,2004,0
663,2005,0
666,1995,1
666,1996,1
666,1997,1
666,1998,1
666,1999,1
666,2000,1
666,2001,1
666,2002,1
666,2003,1
666,2004,1
666,2005,1
670,1995,0
670,1996,0
670,1997,0
670,1998,0
670,1999,0
670,2000,0
670,2001,0
670,2002,0
670,2003,0
670,2004,0
670,2005,0
678,1995,0
678,1996,0
678,1997,0
678,1998,0
678,1999,0
678,2000,0
678,2001,0
678,2002,0
678,2003,0
678,2004,0
678,2005,0
690,1995,0
690,1996,0
690,1997,0
690,1998,0
690,1999,0
690,2000,0
690,2001,0
690,2002,0
690,2003,0
690,2004,0
690,2005,0
694,1995,0
694,1996,0
694,1997,1
694,1998,1
694,1999,1
694,2000,1
694,2001,1
694,2002,0
694,2003,0
694,2004,0
694,2005,0
698,1995,0
698,1996,0
698,1997,0
698,1998,0
698,1999,0
698,2000,0
698,2001,0
698,2002,0
698,2003,0
698,2004,0
698,2005,0
700,1995,0
700,1996,0
700,1997,0
700,1998,0
700,1999,0
700,2000,0
700,2001,0
700,2002,0
700,2003,0
700,2004,0
700,2005,0
701,1995,0
701,1996,0
701,1997,0
701,1998,0
701,1999,0
701,2000,0
701,2001,0
701,2002,0
701,2003,0
701,2004,0
701,2005,0
702,1995,0
702,1996,0
702,1997,0
702,1998,0
702,1999,0
702,2000,0
702,2001,0
702,2002,0
702,2003,0
702,2004,0
702,2005,0
703,1995,0
703,1996,0
703,1997,0
703,1998,0
703,1999,0
703,2000,0
703,2001,0
703,2002,0
703,2003,0
703,2004,0
703,2005,0
704,1995,0
704,1996,0
704,1997,0
704,1998,0
704,1999,0
704,2000,0
704,2001,0
704,2002,0
704,2003,0
704,2004,0
704,2005,0
705,1995,0
705,1996,0
705,1997,0
705,1998,0
705,1999,0
705,2000,0
705,2001,0
705,2002,0
705,2003,0
705,2004,0
705,2005,0
710,1995,0
710,1996,0
710,1997,0
710,1998,0
710,1999,0
710,2000,0
710,2001,0
710,2002,0
710,2003,0
710,2004,0
710,2005,0
712,1995,1
712,1996,1
712,1997,1
712,1998,1
712,1999,1
712,2000,1
712,2001,1
712,2002,1
712,2003,1
712,2004,1
712,2005,1
731,1995,0
731,1996,0
731,1997,0
731,1998,0
731,1999,0
731,2000,0
731,2001,0
731,2002,0
731,2003,0
731,2004,0
731,2005,0
732,1995,1
732,1996,1
732,1997,1
732,1998,1
732,1999,1
732,2000,1
732,2001,1
732,2002,1
732,2003,1
732,2004,1
732,2005,1
740,1995,1
740,1996,1
740,1997,1
740,1998,1
740,1999,1
740,2000,1
740,2001,1
740,2002,1
740,2003,1
740,2004,1
740,2005,1
750,1995,1
750,1996,1
750,1997,1
750,1998,1
750,1999,1
750,2000,1
750,2001,1
750,2002,1
750,2003,1
750,2004,1
750,2005,1
770,1995,1
770,1996,0
770,1997,0
770,1998,0
770,1999,0
770,2000,1
770,2001,1
770,2002,1
770,2003,1
770,2004,0
770,2005,0
771,1995,0
771,1996,0
771,1997,0
771,1998,0
771,1999,0
771,2000,0
771,2001,0
771,2002,0
771,2003,0
771,2004,0
771,2005,0
775,1995,0
775,1996,0
775,1997,0
775,1998,0
775,1999,0
775,2000,0
775,2001,0
775,2002,0
775,2003,0
775,2004,0
775,2005,0
780,1995,0
780,1996,0
780,1997,0
780,1998,0
780,1999,0
780,2000,0
780,2001,0
780,2002,1
780,2003,1
780,2004,1
780,2005,1
790,1995,0
790,1996,0
790,1997,0
790,1998,0
790,1999,0
790,2000,0
790,2001,0
790,2002,0
790,2003,0
790,2004,0
790,2005,0
800,1995,0
800,1996,0
800,1997,0
800,1998,1
800,1999,1
800,2000,1
800,2001,1
800,2002,1
800,2003,1
800,2004,1
800,2005,1
811,1995,0
811,1996,0
811,1997,0
811,1998,0
811,1999,0
811,2000,0
811,2001,0
811,2002,0
811,2003,0
811,2004,0
811,2005,0
812,1995,0
812,1996,0
812,1997,0
812,1998,0
812,1999,0
812,2000,0
812,2001,0
812,2002,0
812,2003,0
812,2004,0
812,2005,0
816,1995,0
816,1996,0
816,1997,0
816,1998,0
816,1999,0
816,2000,0
816,2001,0
816,2002,0
816,2003,0
816,2004,0
816,2005,0
820,1995,0
820,1996,0
820,1997,0
820,1998,0
820,1999,0
820,2000,0
820,2001,0
820,2002,0
820,2003,0
820,2004,0
820,2005,0
830,1995,0
830,1996,0
830,1997,0
830,1998,0
830,1999,0
830,2000,0
830,2001,0
830,2002,0
830,2003,0
830,2004,0
830,2005,0
840,1995,1
840,1996,1
840,1997,1
840,1998,1
840,1999,1
840,2000,1
840,2001,1
840,2002,1
840,2003,1
840,2004,1
840,2005,1
850,1995,0
850,1996,0
850,1997,0
850,1998,1
850,1999,1
850,2000,1
850,2001,1
850,2002,1
850,2003,1
850,2004,1
850,2005,1
860,2002,1
860,2003,1
860,2004,1
860,2005,1
900,1995,1
900,1996,1
900,1997,1
900,1998,1
900,1999,1
900,2000,1
900,2001,1
900,2002,1
900,2003,1
900,2004,1
900,2005,1
910,1995,1
910,1996,1
910,1997,1
910,1998,1
910,1999,1
910,2000,1
910,2001,1
910,2002,1
910,2003,1
910,2004,1
910,2005,1
920,1995,1
920,1996,1
920,1997,1
920,1998,1
920,1999,1
920,2000,1
920,2001,1
920,2002,1
920,2003,1
920,2004,1
920,2005,1
